security_id,in_parquet,in_pkl,active_in_jul_2026,parquet_col,pkl_col
136431,True,True,True,2102.0,2675
136643,True,True,True,2104.0,2678
136743,True,True,True,2107.0,2682
136748,True,True,True,2108.0,2683
137115,True,True,True,2111.0,2687
137341,True,True,True,2120.0,2697
137411,True,True,True,2121.0,2699
137887,True,True,True,2123.0,2701
138373,True,True,True,2132.0,2711
138494,True,True,True,2136.0,2715
139032,True,True,True,2137.0,2718
139836,True,True,True,2145.0,2728
139857,True,True,True,2146.0,2729
140095,True,True,True,2151.0,2737
140169,True,True,True,2153.0,2739
140201,True,True,True,2155.0,2741
140224,True,True,True,2156.0,2742
147424,True,True,True,2158.0,2744
147427,True,True,True,2159.0,2745
147429,True,True,True,2160.0,2746
147746,True,True,True,2169.0,2755
147750,True,True,True,2170.0,2756
147786,True,True,True,2171.0,2757
147787,True,True,True,2172.0,2758
148533,True,True,True,2175.0,2763
148710,True,True,True,2176.0,2764
149055,True,True,True,2179.0,2770
149659,True,True,True,2182.0,2773
149690,True,True,True,2184.0,2775
149752,True,True,True,2186.0,2777
149782,True,True,True,2188.0,2779
150187,True,True,True,2191.0,2786
150254,True,True,True,2193.0,2788
151431,True,True,True,2194.0,2789
151798,True,True,True,2196.0,2791
151923,True,True,True,2198.0,2793
152751,True,True,True,2201.0,2797
153004,True,True,True,2205.0,2801
153451,True,True,True,2209.0,2807
153452,True,True,True,2210.0,2808
153495,True,True,True,2212.0,2811
169130,True,True,True,2213.0,2813
169204,True,True,True,2214.0,2815
170478,True,True,True,2216.0,2821
170967,True,True,True,2218.0,2825
174045,True,True,True,2220.0,2827
182723,True,True,True,2221.0,2828
196789,True,True,True,2226.0,2836
205864,True,True,True,2230.0,2840
209869,True,True,True,2232.0,2842
213845,True,True,True,2237.0,2850
213945,True,True,True,2241.0,2854
214872,True,True,True,2245.0,2858
215062,True,True,True,2247.0,2860
215556,True,True,True,2250.0,2864
216044,True,True,True,2252.0,2867
216197,True,True,True,2253.0,2868
216209,True,True,True,2254.0,2869
216562,True,True,True,2255.0,2870
217232,True,True,True,2257.0,2872
217737,True,True,True,2258.0,2873
217855,True,True,True,2260.0,2875
218471,True,True,True,2264.0,2881
228976,True,True,True,2269.0,2889
228982,True,True,True,2270.0,2890
229000,True,True,True,2271.0,2891
229001,True,True,True,2272.0,2892
229496,True,True,True,2274.0,2895
230039,True,True,True,2277.0,2899
230040,True,True,True,2278.0,2900
230074,True,True,True,2279.0,2901
230093,True,True,True,2281.0,2903
230189,True,True,True,2282.0,2904
230233,True,True,True,2283.0,2905
230289,True,True,True,2285.0,2907
230574,True,True,True,2286.0,2908
230821,True,True,True,2290.0,2912
230971,True,True,True,2293.0,2917
231025,True,True,True,2294.0,2918
231323,True,True,True,2298.0,2924
231337,True,True,True,2299.0,2925
232337,True,True,True,2305.0,2933
234475,True,True,True,2306.0,2934
234659,True,True,True,2310.0,2939
234679,True,True,True,2312.0,2941
234767,True,True,True,2313.0,2942
235005,True,True,True,2316.0,2946
235089,True,True,True,2317.0,2947
241195,True,True,True,2321.0,2952
241473,True,True,True,2324.0,2956
241600,True,True,True,2327.0,2959
242608,True,True,True,2332.0,2968
242627,True,True,True,2333.0,2969
242655,True,True,True,2334.0,2970
242870,True,True,True,2337.0,2974
243193,True,True,True,2343.0,2981
243265,True,True,True,2346.0,2984
243505,True,True,True,2353.0,2991
243526,True,True,True,2354.0,2992
243544,True,True,True,2355.0,2993
244033,True,True,True,2359.0,2998
244403,True,True,True,2365.0,3007
244407,True,True,True,2366.0,3008
247036,True,True,True,2371.0,3016
248046,True,True,True,2375.0,3020
248049,True,True,True,2377.0,3022
248823,True,True,True,2379.0,3024
249020,True,True,True,2385.0,3030
249420,True,True,True,2387.0,3032
249641,True,True,True,2388.0,3033
249919,True,True,True,2391.0,3036
250122,True,True,True,2394.0,3039
250329,True,True,True,2396.0,3043
250625,True,True,True,2397.0,3044
250664,True,True,True,2398.0,3045
250829,True,True,True,2403.0,3051
251185,True,True,True,2409.0,3061
251186,True,True,True,2410.0,3062
251534,True,True,True,2414.0,3067
252173,True,True,True,2421.0,3080
254268,True,True,True,2425.0,3086
254453,True,True,True,2430.0,3093
255406,True,True,True,2435.0,3101
255914,True,True,True,2437.0,3105
255979,True,True,True,2439.0,3107
257167,True,True,True,2441.0,3112
257955,True,True,True,2443.0,3114
257991,True,True,True,2445.0,3116
258464,True,True,True,2450.0,3121
258717,True,True,True,2453.0,3127
258877,True,True,True,2458.0,3132
259401,True,True,True,2465.0,3139
259430,True,True,True,2466.0,3140
259497,True,True,True,2470.0,3144
259581,True,True,True,2473.0,3148
259632,True,True,True,2475.0,3150
259851,True,True,True,2479.0,3154
259974,True,True,True,2480.0,3156
260110,True,True,True,2482.0,3158
260365,True,True,True,2486.0,3162
260398,True,True,True,2487.0,3163
260534,True,True,True,2490.0,3166
260635,True,True,True,2494.0,3172
260654,True,True,True,2497.0,3175
260801,True,True,True,2502.0,3180
261113,True,True,True,2509.0,3189
261151,True,True,True,2511.0,3191
261267,True,True,True,2516.0,3198
261387,True,True,True,2517.0,3199
261481,True,True,True,2518.0,3202
261708,True,True,True,2519.0,3203
262026,True,True,True,2527.0,3213
262331,True,True,True,2530.0,3217
262346,True,True,True,2531.0,3218
